,t,x,y,z,e,label
0,2020-10-16 12:34:00,550393.5,4432572.03,859.2,1384.97,0
1,2020-10-16 13:16:00,550435.44,4432507.23,857.97,1004.08,0
2,2020-10-16 14:35:00,550437.77,4432472.38,865.88,8323.33,0
3,2020-10-16 15:59:00,550431.2,4432480.09,885.86,9446.81,0
4,2020-10-16 16:28:00,550176.69,4432497.09,857.14,2512.63,0
5,2020-10-16 22:41:00,550514.86,4432557.42,868.1,1262.69,0
6,2020-10-17 13:06:00,550562.5,4432497.51,895.49,5023.8,0
7,2020-10-17 20:44:00,550420.52,4432565.92,872.08,3799.73,0
8,2020-10-17 23:24:00,550446.66,4432699.41,858.11,1262.17,0
9,2020-10-17 23:33:00,550409.28,4432517.84,882.69,2007.77,0
10,2020-10-18 00:14:00,550458.92,4432613.21,852.53,13936.11,1
11,2020-10-18 01:26:00,550445.63,4432470.35,859.64,9721.38,0
12,2020-10-18 02:59:00,550381.43,4432503.45,867.89,6626.92,0
13,2020-10-18 02:59:00,550446.19,4432611.94,891.34,4176.93,0
14,2020-10-18 06:04:00,550479.84,4432589.66,852.04,14320.84,1
15,2020-10-18 12:00:00,550452.92,4432513.4,868.81,3642.58,0
16,2020-10-18 12:35:00,550442.53,4432603.68,861.34,7290.27,0
17,2020-10-18 13:33:00,550440.61,4432606.04,856.85,7746.18,0
18,2020-10-18 17:21:00,550471.57,4432632.45,851.22,6777.71,0
19,2020-10-19 01:44:00,550443.17,4432660.22,852.51,537.76,0
20,2020-10-19 02:02:00,550615.48,4432688.32,861.95,1108.74,0
21,2020-10-19 02:22:00,550409.44,4432506.4,862.97,401.09,0
22,2020-10-19 03:54:00,550443.51,4432598.65,858.42,11099.32,0
23,2020-10-19 04:00:00,550388.69,4432536.71,866.07,2984.44,0
24,2020-10-20 02:14:00,550441.49,4432604.18,854.07,5743.72,0
25,2020-10-20 06:29:00,550501.34,4432539.73,870.24,166.01,0
26,2020-10-20 18:23:00,550395.06,4432475.39,868.96,92.57,0
27,2020-10-21 07:12:00,550460.43,4432561.64,870.24,86.68,0
28,2020-10-22 05:58:00,550392.15,4432661.58,878.98,4472.86,0
29,2020-10-22 15:36:00,550483.34,4432579.57,876.41,6901.1,0
30,2020-10-23 03:00:00,550462.16,4432480.65,860.6,9206.87,0
31,2020-10-23 04:58:00,550472.29,4432590.56,862.01,4901.61,0
32,2020-10-23 05:33:00,550469.58,4432619.09,855.19,4393.53,0
33,2020-10-23 07:01:00,550451.66,4432602.85,853.15,4078.39,0
34,2020-10-23 11:02:00,550463.95,4432458.13,865.24,5843.48,0
35,2020-10-23 14:31:00,550462,4432602.69,859.24,6654.69,0
36,2020-10-23 16:53:00,550489.09,4432714.92,852.15,8916.01,0
37,2020-10-23 19:30:00,550467.41,4432554.37,861.68,8891.17,0
38,2020-10-24 00:32:00,550454.15,4432593.95,875.44,3684.81,0
39,2020-10-24 00:38:00,550437.98,4432537.74,869.82,6668.66,0
40,2020-10-24 08:02:00,550493.77,4432598.79,866.71,6572.29,0
41,2020-10-24 09:21:00,550530.85,4432603.02,875.95,3153.82,0
42,2020-10-24 12:14:00,550459.46,4432424.86,881.68,4681.41,0
43,2020-10-24 15:21:00,550473.22,4432531.84,883.23,18007.46,1
44,2020-10-24 15:41:00,550438.27,4432706.6,853.86,4389.59,0
45,2020-10-24 18:02:00,550500.56,4432502.42,855.75,8894.53,0
46,2020-10-24 23:19:00,550458.51,4432591.88,878.62,8473.67,0
47,2020-10-25 00:11:00,550476.76,4432639.86,887.45,7881.42,0
48,2020-10-25 01:01:00,550514.74,4432570.15,873.94,8421.3,0
49,2020-10-25 01:46:00,550476.16,4432529.35,886.53,11405.96,0
50,2020-10-25 04:05:00,550478.78,4432588.39,871.03,18765.97,1
51,2020-10-25 08:25:00,550439.8,4432607.25,862.11,16396.96,1
52,2020-10-25 11:35:00,550416.1,4432749.19,859.48,4566.45,0
53,2020-10-25 15:44:00,550389.4,4432632.53,879.83,7390.1,0
54,2020-10-25 16:17:00,550456.72,4432614.13,852.6,8528.95,0
55,2020-10-26 02:58:00,550458.36,4432579.15,852.05,8510.33,0
56,2020-10-26 03:55:00,550426.52,4432620.93,862.68,4472.25,0
57,2020-10-26 12:46:00,550442.51,4432603.74,861.58,7991.93,0
58,2020-10-26 13:39:00,550459.77,4432558.38,854.8,6978.89,0
59,2020-10-26 15:33:00,550438.32,4432647.52,857.02,10348.85,0
60,2020-10-26 15:48:00,550439.58,4432608.86,850.9,4231.99,0
61,2020-10-26 16:05:00,550577.02,4432669.98,887.64,12629.09,0
62,2020-10-26 20:25:00,550470.69,4432546.15,891.59,5853.01,0
63,2020-10-27 00:43:00,550437.23,4432605.76,869.24,5956.13,0
64,2020-10-27 01:39:00,550464.19,4432623.58,851,12449.91,0
65,2020-10-27 02:43:00,550464.82,4432597.78,854.61,18735.37,1
66,2020-10-27 02:48:00,550347.51,4432640.83,894.92,9131.44,0
