,t,x,y,z,e,label
0,2020-10-16 01:42:00,550403.35,4432534.75,842.12,2182.66,0
1,2020-10-16 04:17:00,550385.96,4432511.07,830.15,2374.85,0
2,2020-10-16 07:20:00,550482.34,4432434.58,840.59,2552.44,0
3,2020-10-16 11:31:00,550410.52,4432599.57,828.36,5325.74,0
4,2020-10-16 22:48:00,550423.55,4432512.86,819.58,1352.19,0
5,2020-10-16 23:35:00,550452.55,4432606.3,846.9,4946.24,0
6,2020-10-17 12:45:00,550505.29,4432600.47,824.56,2309.68,0
7,2020-10-17 12:52:00,550411.47,4432627.47,834.03,3656.85,0
8,2020-10-17 16:46:00,550436.02,4432618.91,844.39,10728.37,1
9,2020-10-18 01:41:00,550429.94,4432619.24,838.54,11283.93,1
10,2020-10-18 11:35:00,550451.12,4432661.3,844.58,5165.58,0
11,2020-10-18 15:50:00,550415.42,4432627.76,835.31,4165.55,0
12,2020-10-18 21:34:00,550498.28,4432609.42,818.41,10412.68,1
13,2020-10-18 22:18:00,550453.46,4432461.15,822.87,10711.43,1
14,2020-10-18 23:40:00,550545.55,4432399.43,848.56,7738.42,0
15,2020-10-19 00:18:00,550466.67,4432653.32,832.31,608.35,0
16,2020-10-19 01:27:00,550415.57,4432627,835.6,7705.17,0
17,2020-10-19 04:48:00,550438.99,4432547.4,814.71,383.56,0
18,2020-10-20 03:20:00,550434.92,4432615.37,830.21,676.02,0
19,2020-10-20 23:49:00,550418.39,4432666.9,841.55,97.95,0
20,2020-10-21 00:23:00,550284.48,4432523.48,845.92,178.53,0
21,2020-10-21 23:18:00,550411.46,4432627.47,834.02,21.75,0
22,2020-10-22 15:37:00,550421.56,4432590.77,815.38,5950.52,0
23,2020-10-22 16:46:00,550417.55,4432662.1,840.81,10467.93,1
24,2020-10-22 16:47:00,550495.29,4432623.13,812.03,13487.97,1
25,2020-10-22 21:48:00,550419.36,4432439.41,846.76,5972.41,0
26,2020-10-22 23:10:00,550464.66,4432634.24,817.71,8800.91,0
27,2020-10-22 23:40:00,550399.22,4432530.22,844.52,2073.33,0
28,2020-10-23 01:23:00,550449.19,4432674.69,848.73,8391.02,0
29,2020-10-23 04:02:00,550494.96,4432606.19,832.3,7721.06,0
30,2020-10-23 12:05:00,550411.49,4432627.46,834.04,8195.13,0
31,2020-10-23 12:42:00,550472.93,4432603.43,844.14,5706.15,0
32,2020-10-23 17:25:00,550559.31,4432604.59,807.68,9668.74,0
33,2020-10-23 18:14:00,550502.42,4432416.44,816.11,7272.36,0
34,2020-10-23 19:11:00,550431.74,4432610.75,848.05,4948.73,0
35,2020-10-24 01:08:00,550423,4432631.48,832.8,6646.23,0
36,2020-10-24 04:42:00,550426.25,4432622.81,840.76,5017.13,0
37,2020-10-24 05:37:00,550413.14,4432552.15,810.8,4801.87,0
38,2020-10-24 17:53:00,550508.39,4432561.95,827.82,6513.54,0
39,2020-10-25 01:32:00,550445.12,4432657,842.04,8940.62,0
40,2020-10-25 01:34:00,550402.58,4432622.19,809.48,3845.52,0
41,2020-10-25 09:07:00,550517.22,4432601.46,824.42,9292.47,0
42,2020-10-25 10:53:00,550493.12,4432542.48,822.58,5929.42,0
43,2020-10-25 13:27:00,550427.45,4432617.27,843.34,5884.16,0
44,2020-10-25 15:04:00,550411.42,4432627.5,834,3514.98,0
45,2020-10-25 16:49:00,550503.44,4432598.38,835.76,7008.37,0
46,2020-10-26 02:56:00,550412.63,4432628.55,834.41,10066.75,0
47,2020-10-26 04:09:00,550437.61,4432642.19,844.46,7710.31,0
48,2020-10-26 10:07:00,550421.15,4432543.19,814.44,9733.75,0
49,2020-10-26 11:20:00,550451.36,4432669.86,823.48,9755.06,0
50,2020-10-27 02:16:00,550550.91,4432489.1,818.69,8242.26,0
51,2020-10-27 02:32:00,550415.53,4432625.27,835.41,4855.2,0
52,2020-10-27 14:33:00,550402.42,4432537.35,843.3,3647.79,0
53,2020-10-28 00:04:00,550411.7,4432628.44,834.23,7299.37,0
54,2020-10-28 02:40:00,550459.32,4432579.39,844.6,6999.63,0
55,2020-10-28 15:02:00,550375.5,4432501.46,828.5,3090.21,0
