,t,x,y,z,e,label
75,2021-01-14 05:48:00,550129.19,4432480.61,905.54,8245.18,0
76,2021-01-14 07:44:00,550167.54,4432569.17,934.81,6025.66,0
77,2021-01-14 08:39:00,550215.96,4432656.15,905.19,9863.68,0
78,2021-01-14 09:46:00,550164.01,4432564.91,909.01,4318.6,0
79,2021-01-14 13:22:00,550244.48,4432700.03,902.24,8191.27,0
80,2021-01-14 14:45:00,550175.51,4432500.87,903.05,8853.37,0
81,2021-01-14 18:04:00,550158.26,4432558.69,918.79,4176.81,0
82,2021-01-15 03:19:00,550169.47,4432551.44,907.59,3780.2,0
83,2021-01-15 03:27:00,550235.94,4432639.13,952.82,7940.16,0
84,2021-01-15 03:27:00,550203.8,4432638.02,910.3,2887.64,0
85,2021-01-15 13:40:00,550215.06,4432675.97,909.34,5551.41,0
86,2021-01-15 14:47:00,550210.37,4432559.18,903.45,3912.5,0
87,2021-01-15 15:21:00,550217.35,4432640.69,903.88,3209.42,0
88,2021-01-15 22:50:00,550162.17,4432616.07,913.8,3393.92,0
89,2021-01-15 23:41:00,550112.32,4432480.04,905.71,7444.37,0
90,2021-01-16 01:35:00,550180.69,4432487.63,907,3534.84,0
91,2021-01-16 05:53:00,550150.51,4432520.79,906.86,3703.17,0
92,2021-01-16 06:52:00,550218.34,4432681.84,911.42,5124.22,0
93,2021-01-16 11:50:00,550211.74,4432587.81,910.61,5546.76,0
94,2021-01-16 12:51:00,550255.49,4432677.87,930.2,8735.11,0
95,2021-01-16 15:23:00,550142.51,4432486.67,905.72,4613.68,0
96,2021-01-16 15:37:00,550283.2,4432597.36,908.29,3321.1,0
97,2021-01-17 04:57:00,550167.99,4432524.31,900.78,15198.09,0
98,2021-01-17 08:02:00,550183.55,4432520.7,905.77,6096.12,0
99,2021-01-17 13:33:00,550180.31,4432602.33,940,12632.87,0
100,2021-01-17 23:04:00,550191.97,4432695.59,920.35,4859.88,0
101,2021-01-18 01:34:00,550224.44,4432687.52,911.3,7478.79,0
102,2021-01-18 07:30:00,550187.99,4432673.28,911.19,9780.01,0
103,2021-01-18 10:24:00,550126.54,4432479.78,905.65,7699.23,0
104,2021-01-18 10:36:00,550206.7,4432499.87,904.33,6720.18,0
105,2021-01-18 16:47:00,550203.17,4432666.91,913.59,7005.84,0
106,2021-01-18 17:53:00,550171.32,4432645.43,901.96,8783.38,0
107,2021-01-18 23:40:00,550232.89,4432684.97,913.85,13224.92,0
108,2021-01-19 00:17:00,550106.77,4432559.12,906.39,5293.14,0
109,2021-01-19 04:29:00,550214.23,4432666.66,912.61,14489.19,0
110,2021-01-19 05:36:00,550205.85,4432637.69,909.91,5925.52,0
111,2021-01-19 10:48:00,550150.34,4432549.91,909.09,19107.17,1
112,2021-01-19 11:18:00,550206.71,4432640.77,938.15,7000.91,0
113,2021-01-19 18:21:00,550209.73,4432639.04,910.9,8196.17,0
114,2021-01-19 22:58:00,550170.83,4432542.91,901.82,12434.83,0
115,2021-01-19 22:58:00,550186.84,4432663.95,934.01,5746.76,0
116,2021-01-19 23:08:00,550201.96,4432677.37,911.57,10559.36,0
117,2021-01-19 23:22:00,550210.53,4432666.68,919.84,17912.92,1
118,2021-01-20 01:55:00,550232.03,4432682.41,913.16,13040.55,0
119,2021-01-20 02:02:00,550222.26,4432613.28,946.21,17649.75,1
120,2021-01-20 04:13:00,550103.44,4432613.69,926.57,6340.11,0
121,2021-01-20 05:10:00,550204.46,4432729.84,912.86,15714.41,1
122,2021-01-20 05:41:00,550161.07,4432692,908.91,9073.48,0
123,2021-01-21 05:13:00,550137.74,4432740.74,906.35,9715.41,0
124,2021-01-21 11:55:00,550170.17,4432734.34,910.58,10984.72,0
125,2021-01-22 07:31:00,550152.67,4432559.29,903.55,1344.02,0
126,2021-01-22 09:15:00,550146.78,4432514.96,906.98,8289.71,0
127,2021-01-22 09:17:00,550167.13,4432524.79,906.89,3086.48,0
128,2021-01-22 11:28:00,550171.92,4432524.55,907.14,2072.79,0
129,2021-01-22 16:43:00,550183.07,4432587.69,907.58,2551.74,0
130,2021-01-23 01:38:00,550176.94,4432511.34,900.96,2140.91,0
131,2021-01-23 05:04:00,550155.09,4432519.82,904.67,1800.67,0
132,2021-01-23 09:54:00,550038.43,4432723.69,927.53,7068.15,0
133,2021-01-23 17:39:00,550001.93,4432825.99,910.18,1230.01,0
134,2021-01-24 03:29:00,550040.48,4432788.85,917.88,9283.66,0
135,2021-01-24 07:49:00,550114.39,4432621.51,910.16,5625.8,0
136,2021-01-24 07:56:00,550159.8,4432600.89,900.26,3123.48,0
137,2021-01-24 13:08:00,550058.2,4432573.57,913.72,3307.98,0
138,2021-01-24 15:43:00,550108.76,4432582.95,905.16,6867.6,0
139,2021-01-24 23:20:00,550157.93,4432661.21,902.2,5591.73,0
140,2021-01-25 04:16:00,550105.46,4432668.19,912.16,2402.04,0
141,2021-01-25 06:15:00,550122.25,4432625.65,908.34,11768.09,0
142,2021-01-25 23:01:00,550109.8,4432585.21,907.91,2048.51,0
143,2021-01-26 11:03:00,550127.24,4432623.7,942.69,11950.58,0
144,2021-01-26 13:29:00,550084.24,4432615.51,912.95,4131.01,0
145,2021-01-26 21:05:00,550004.77,4432792.89,911.27,6811.16,0
146,2021-01-27 03:31:00,550070.68,4432577.19,909.01,16779.05,1
147,2021-01-28 00:26:00,550074.05,4432577.92,908.74,11418.09,0
148,2021-01-28 02:28:00,550145.58,4432651.52,899.2,6660.68,0
149,2021-01-28 05:27:00,550067.24,4432669.05,933.26,8858.05,0
150,2021-01-28 07:43:00,550145.35,4432613.24,904.7,6133.52,0
151,2021-01-29 02:16:00,550039.44,4432536.02,910.79,6357.26,0
152,2021-01-29 04:15:00,550134.29,4432634.86,915.5,9568.83,0
153,2021-01-29 06:19:00,550142.28,4432648.45,913.71,9142.79,0
154,2021-01-29 07:19:00,550064.93,4432638.89,922.71,15013.06,0
155,2021-01-29 11:23:00,550101.84,4432680.97,907.13,8842.25,0
156,2021-01-29 18:27:00,550119.13,4432663.82,911.35,10878.64,0
157,2021-01-29 19:08:00,550059.91,4432519.56,913.64,11040.58,0
158,2021-01-30 01:12:00,550096.06,4432542.67,910.86,10518.98,0
159,2021-01-30 18:29:00,550020.9,4432523.36,910.81,5370.73,0
160,2021-01-31 00:33:00,550107.13,4432657.05,907.7,18262.75,1
161,2021-01-31 01:58:00,550120.06,4432617.7,909.05,5655.27,0
162,2021-01-31 02:35:00,550307.33,4432687.28,912.67,5011.61,0
163,2021-02-01 00:41:00,550127.82,4432650.66,945.89,7114.04,0
164,2021-02-01 00:44:00,550095.95,4432519.99,910.84,8458.29,0
165,2021-02-02 01:03:00,550098.69,4432675.95,923.64,10280.33,0
166,2021-02-03 01:45:00,550128.13,4432630.25,900.43,4508.44,0
167,2021-02-03 05:18:00,550128.33,4432700.26,912.52,10943.04,0
168,2021-02-03 05:44:00,550125.48,4432717.14,910.17,4557.61,0
169,2021-02-03 06:34:00,550134.3,4432762.23,915.28,4917.35,0
170,2021-02-04 16:20:00,550113.44,4432652.07,907.86,11104.81,0
171,2021-02-04 16:37:00,550121.67,4432729.61,909.14,5126.32,0
172,2021-02-04 23:52:00,550103.78,4432581.98,906.42,13398.61,0
173,2021-02-05 00:34:00,550118.5,4432589.3,908.64,10198.31,0
174,2021-02-05 05:39:00,550102.59,4432649.27,914.35,6186.85,0
175,2021-02-05 07:41:00,550132.89,4432612.72,900.06,8476.49,0
176,2021-02-05 14:03:00,550120.59,4432727.18,899.41,6513.39,0
177,2021-02-06 00:29:00,550093.91,4432695.12,901.86,14188.85,0
178,2021-02-06 04:06:00,550060.95,4432510.03,909.94,21867.52,1
179,2021-02-06 06:34:00,550115.59,4432517.9,910.88,23518.33,1
180,2021-02-06 11:12:00,550114.28,4432567.55,912.97,8846.39,0
181,2021-02-06 13:49:00,550121.1,4432587.51,909.07,7016.87,0
182,2021-02-06 14:25:00,550102.5,4432542.34,911.05,8869.34,0
183,2021-02-06 14:37:00,550130.97,4432727.22,907.96,10551.76,0
184,2021-02-06 15:58:00,550122.08,4432516.49,907.1,12597.92,0
185,2021-02-07 08:59:00,550115.22,4432681.59,941.45,7348.21,0
186,2021-02-07 12:47:00,550098.78,4432581.08,906.91,6046.43,0
187,2021-02-07 13:22:00,550118.98,4432575.35,910.82,2833.23,0
188,2021-02-07 16:02:00,550102.3,4432662.77,906.54,4452.9,0
189,2021-02-08 00:43:00,550096.8,4432581.74,908.16,11821.8,0
190,2021-02-08 02:27:00,550103.11,4432668.72,922.45,7846.88,0
191,2021-02-08 05:21:00,550111.89,4432588.93,909.03,7600.15,0
192,2021-02-08 06:54:00,550124.06,4432666.8,901.27,19560.58,1
193,2021-02-08 07:32:00,550079.17,4432691,936.7,5933.92,0
